Item Code,Item Description,Unit,Rate,PCR RATE,FINAL ITEM NUMBER,Technical description   rating & size & & Make & MPN & Type
33167&33228, Main controller MK603- 19208201-FLX30    ( Equivalent of MK445D Modubus communication) with White Plastic Screw  (05 Nos)  Part Number 50M040070P008         ,Nos.,7924,28312,,
33168 & 33167 &29587," MK 604 192083 the board with the Profibus chip ( Equivalent of MK445D ) ,need to installed MK 604   &MK603 with 20 pin belt ( 4 connector) for replacement  with White Plastic Screw  (05 Nos)  Part Number 50M040070P008         ",Nos.,7860,43222,,
9407,PCA LCD display -MK 446 B-19184101,Nos.,4555,26960,1.3311E+11,"PCA LCD Display   MK 446B , 19184101 "
9375,PCA RS 485 converter MK 436B -19186202- Modbus communication,Nos.,6536,14080,1.2711E+11,
9384,"PCA analog digital, Std MK 450A -191852",Nos.,7798,27885,1.3311E+11,"PCA ANALOGUE+DIGITAL I/O MK 450A , 191852"
9410,"PCA digital I/O, Standard  MK 452A -191854",Nos.,6766,15015,,
9397,Parallel board-MK449A -19184706,Nos.,7478,14642,,
24375,PCA Primary -MK 470H 19189507,Nos.,15988,31177,13311010008,
9399,PCA Snubber -MK 468B -19183902,Nos.,600,1526,,
29693,PCA Output  MK 471G -19194803,Nos.,3603,9015,1.3311E+11,
9396,PCA fuse unit  MK 469B -191894,Nos.,2637,9223,,
15049,PCA control unit 15V -MK 444G -19189702,Nos.,8672,34106,1.2711E+11,
16282,PCA control unit 20V -MK 444E -19192301,Nos.,13057,34106,,
28188,"PCA control unit 15V, MK 444G -19189703 ( above 60VDC Rect.Panel)",Nos.,8627,34106,,
28627,Bridge diode Rectifier unit 3-phase 35A 1400V 533853,Nos.,1584,5587,,
9393," Output Diode STPS160, 2X80AMP,535290",Nos.,1548,4506,,
,PCB Assembled  control unit   MK445D  192024 Profibus without flash  ,Nos.,,60147,1.2713E+11,
9405,Fuse 20A / 500VAC 535597     ,Nos.,78,224,1.1814E+11,
9387,Air Fliter A311936,Nos.,50,355,,
29698,"Power supply, 340-550VAC (1-5M)  10A -537935",Nos.,7514,16917,,
29699,"Power supply, 340-550VAC (6-10M) 20A -537936",Nos.,11315,25610,,
10361,Keyboard -535601,Nos.,2172,7078,,
15063,RFI-Filter -35A-535594,Nos.,24270,47326,,
10488,RFI-Filter -85A -535595,Nos.,24426,49978,,
29586," RIBBON CABLE, FC 14P,ARTICLE NO. A314473 ",Nos.,70,350,,
29587,"RIBBON CABLE FC 20P , ARTICLE NO. A314474    ",Nos.,87,384,,
29691," RIBBON CABLE FC 34P , ARTICLE NO. A421242       ",Nos.,129,701,,
29692," RIBBON CABLE FC 10P , ARTICLE NO. A421243 RS 486      ",Nos.,282,551,12520170037,
11933,"Ribbon Cable I/O 26 Pin, MK445 to MK450A, 570 mm, Article No. A312059    ",Nos.,373,683,1.25202E+11,
10403,"Ribbon cable 26P,I/O, 3 pole Pole Reverse units -A421079",Nos.,308,785,,
,"Internal FRC cable Kit , 4 Pcs for Power Module",,,1827,,
29694," RIBBON CABLE,14POS,L-160mm ARTICLE NO. A421238",Nos.,191,456,,
29695," RIBBON CABLE,14POS,L-480mm, ARTICLE NO. A421239",Nos.,177,456,,
29696," RIBBON CABLE,14POS,L-620mm, ARTICLE NO. A421240",Nos.,220,456,,
29697," RIBBON CABLE,14POS,L-720mm, ARTICLE NO. A421241",Nos.,191,456,,
12471,"PCA insulated analog I/O, 0(4)-20mA, Std -191853",Nos.,19755,46628,,
15123,"CONNECTION BLOCK PHOENIX , HDFKV16 ,FK-536248   ",Nos.,518,1118,,
15122," CONNECTION BLOCK PHOENIX , HDFKV50  , FK-536249",Nos.,982,1930,,
15121," CONNECTION BLOCK PHOENIX , HDFKV95 , FK-536250",Nos.,2510,4905,,
16021," CONNECTION TERMINAL BLOCK , 6 POLE ,ELETTRO GIBI,535558  ",Nos.,845,1930,,
14436,Primary cable 1-2 PM -292163-2 ( Power Cable)- ,Nos.,99,645,,
14846,Primary cable 3-4 PM -292163-4  ( Power Cable),Nos.,115,643,,
14847,Primary cable 5-6 PM -292163-6  ( Power Cable),Nos.,144,600,,
14862,Primary cable 7-8 PM -292163-8  ( Power Cable),Nos.,170,600,,
14848,Primary cable 9-10 PM -292163-10  ( Power Cable),Nos.,310,650,,
9402,Pole reverse board (1pcs per rectifier)-MK490C -19192201,Nos.,7335,15198,,
15760,Pole reverse adapter board (1 pcs per module) MK511 -191953,Nos.,1249,2435,,
4228,"Powermodule, 12-15V/2X250-300A, Air -292328",Nos.,77912,161411,,
26502,"Powermodule, 12-15V/2X250-300A, Water -29231301",Nos.,138011,269121,,
9395,Transformer 12-15V -536384,Nos.,4328,10939,,
16283,Transformer 15-20V  -536411,Nos.,5607,10939,,
9406, CT LEM  LA 306-S 536619,Nos.,2447,6864,,
12473,"PCA insulated analog I/O, 4-20mA  MK451A -191853",Nos.,19755,39264,,
,PCA Adaption unit MK 453A -19185502,Nos.,,6705,,
16282,"PCA control unit 20V,special version (more than 2 subm.in serial)-MK 444E -19192301",Nos.,13056,34105,,
,Choke -536390,Nos.,,670,,
,"Copper plate ""Transformer-diodes"" right  A312071",Nos.,,224,,
,"Copper plate ""Transformer-diodes"" left A312072",Nos.,,224,,
,"Copper plate ""Transformer-utput copper bar"" -A311880",Nos.,,448,,
,Alu.distance under transformer -A312067,Nos.,,448,,
15124,Protection Cover for MK 444G as per drg.A312075,Nos.,163,368,,
15125,Protection Cover for MK 469 as per drg A312076,Nos.,125,368,,
23772,Flexkraft Control Module K700601-1/2         ,Nos.,72111,147646,,
23773,Flexkraft Control Module K700601-3/4/5,Nos.,75376,153300,,
23774,Flexkraft Control Module K700601-6/7           ,Nos.,90981,186283,,
23775,Flexkraft Control Module K700601-8/9/10        ,Nos.,91114,186283,,
,Hardware of MK 450A 191852 communication card with 26 pin Ribbon cable with 4 connectors ( 4 spacer with nut),Nos.,200,725,,
14433,Encapsulation as per Drg. No. FK-A312452 Rev-E,Nos.,1160,2363,,
14432,Foot Assembly as per Drg. No. FK-A312451 Rev-C,Nos.,2057,4200,,
14431,Roof Cover as per Drg. No. FK-A311888 Rev-E,Nos.,825,1638,,
14435,Front plate Control Module as per Drg. No. FK-A311889 Rev-D,Nos.,420,840,,
14434,Front plate Power Module as per Drg. No. FK-A311890 Rev-D,Nos.,615,1250,,
,,,,,,
12968,"PCB--PCB, D49-203 R2, RCC+PC+SC Phase Fault",Nos.,8187,36382,,
12962,Pulse Amplifier Card-5287-208,Nos.,2461,16682,,
12964,Pulse Amplifier Card 5709-202,Nos.,1622,6965,1.2713E+11,
12963,"Pulse Amplifier Card 5287-208,STERLITE",Nos.,3500,16840,,
13931,Sync Transformer Card 5668-200,Nos.,2627,18711,,
13920, mV Converter Card-6371-205,Nos.,365,1976,,
12958,"PICT  Card  5444-216,",Nos.,620,3118,,
12927,"Fault Card/1  5575-203,  Chassis Mounted",Nos.,714,7796,,
13958,Fault Card 5575-203/1 (Door)   ,Nos.,714,7795,,
12929,Fault Card  7427-001,Nos.,1133,9719,,
13957,"Fuse Clear Card FC-6 R1,",Nos.,247,395,,
12901,3SNB CARD (HCR) RD-P-4004-A,Nos.,82,365,,
12973,Relay Card 5545-202/A,Nos.,92,1170,,
12908,Buffer Card 5705-202,Nos.,122,624,,
13942,Power Supply Card +15 Card 5814-222,Nos.,271,1164,,
13940,Over Voltage Detector Card BF0014-201,Nos.,1365,6238,,
12904,Amplified Pulse Distribution Card 5287-208/A/2,Nos.,645,3119,,
15101,Dropping Chain Card D55-203,Nos.,151,374,,
13943,Power Supply card +/- B Card 5814-222,Nos.,271,1445,,
12954,New Vngl Card D02-204,Nos.,1060,9355,,
12955,New Vngl Card D02-204 (CV),Nos.,1915,5717,,
12926,"PCB--PCB, D49-205/1, Dual Snubber Card",Nos.,445,1124,,
29332,"PCB--PCB, MK534C, Control Card",Nos.,9795,133824,,
12945,"PCB--PCB, MK535B, Pulse Amplifier Card-197801A",Nos.,4152,59532,,
29546,"PCB--PCB, MK536B, Measurement Card-142035 [ PROTON ]",Nos.,6210,63714,,
30833,"PCBA MK536B, Measurement Card, 9V-15V (75mV) ",Nos.,4237,63714,,
30834,"PCBA MK536B, Measurement Card, 16V-27V (75mV)",Nos.,4237,63714,,
30835,"PCBA MK536B, Measurement Card, 28V-50V (75mV) ",Nos.,4237,63714,,
30836,"PCBA MK 536B, Measurement Card, 51V-100V (75mV) ",Nos.,4237,63714,,
30837,"PCBA MK536B, Measurement Card, 101V-200V (75mV) ",Nos.,4237,63714,,
30838,"PCBA MK536B, Measurement Card, 201V-300V (75mV) ",Nos.,4237,63714,,
30840,"PCBA MK 536B, Measurement Card, 301V-400V (75mV) ",Nos.,4237,63714,,
30842,"PCBA MK 536B, Measurement Card, 401V-500V (75mV) ",Nos.,4237,63714,,
15289,"PCB--PCB, MK537C, Alarm Annuncitor Card- 19198002 B",Nos.,1115,20090,,
29073,"PCB--PCB, MK537D, Alarm Annuncitor Card",Nos.,1523,20090,,
12948,"PCB--PCB, MK538B, Thyristor Interface Card",Nos.,470,2870,,
15280,PCB--PEG SNB Card 4473-201,Nos.,161,2870,,
12946,"PCB--PCB, MK539A, Signal Distribution Card",Nos.,138,1230,,
29370,"PCB--PCBA MK622A, Measurement board.",Nos.,5833,63714,,
19406, PROFINET Bus Coupler BECKHOFF  BK9103,NOS.,24737,#N/A,,
20087,2-channel AI terminal 0-10V BECKHOFF KL3162,NOS.,17178,#N/A,,
19430,2-channel analog Output terminal 0…10 V BECKHOFF KL4002,MTR,13148,#N/A,,
23106,2M Flexkraftwater cooled front cover A312437,NOS.,4101.81,#N/A,,
18636,700A/75mV Accuracy +/- 0.5%,NOS.,820.87,#N/A,,
17255,750VA/1Phase/50Hz-ENIO000IA69  Make - Nanap,NO.,0,#N/A,,
19409,8-channel analog input terminal 0…10 V BECKHOFF KL3468,NOS.,14423,#N/A,,
19408,8-channel digital output terminal 24 V DC BECKHOFF KL2408,NOS.,4062,#N/A,,
33898,ABS BOX  MC003609 (296(W) X 158(D) X 281(H) in mm,NOS.,6210.73,#N/A,,
17717,Ammeter Digital DC  Rishabh  0-10V/0 … 9999 (programmable) 48X96,NOS.,826,#N/A,,
18690,Ammeter Digital DC  Rishabh  0-75mV/0 … 1999 (progr ),NO.,0,#N/A,,
17648,Ammeter Digital DC  Rishabh  0-75mV/0 … 9999 (programmable),NOS.,856.8,#N/A,,
27477,Ammeter Digital DC  RISHABH  Input 0-10Vdc  output 0-1200.0Adc,NOS.,2873.7,#N/A,,
25938,Ammeter Digital DC  RISHABH  Input 0-10Vdc  output 0-8400Adc,NOS.,826,#N/A,,
26184,Ammeter Digital DC  Rishabh  RISH Eine+ DC DPM 0-75mV/0 TO 9999ADC,NOS.,895.9,#N/A,,
18808,Ammeter Digital DC Elmeasur ALPHA+ADC  I/P-75mV 4 DIGIT,NOS.,900,#N/A,,
15786,Ammeter Digital DC Linear 100mV/2000A Adjustable   ,NOS.,376.4,#N/A,,
48,Ammeter Digital DC Linear 10V/1500A Adjustable                                                     ,NOS.,428.304,#N/A,,
12516,Ammeter Digital DC Linear 10V/1800A Adjustable-3 1/2 DIGIT    ,NOS.,433.29,#N/A,,
15461,Ammeter Digital DC Linear 10V/1999A Adjustable   ,NOS.,428.892,#N/A,,
50,Ammeter Digital DC Linear 7.5V/1500A Adjustable                                                    ,NOS.,381,#N/A,,
47,Ammeter Digital DC Linear 75mV/2000A Adjustable                                                     ,NOS.,421.266,#N/A,13510700065,
14156,Ammeter Digital DC MECO  75mV/10000A  SMP45S  48x96,NO.,0,#N/A,,
17252,Ammeter Digital DC MECO  75mV/8000A  SMP45S  48x96,NO.,0,#N/A,,
20642,Ammeter Digital DC Meco  SMP9635SRS 0-75mV/0 … 1600 (Prog – 96X96 ),NOS.,1196.8,#N/A,,
20006,Ammeter Digital DC Meco  SMP9635SRS 0-75mV/0 … 1999 (Prog – 96X96 ),NO.,0,#N/A,,
7360,Ammeter Digital DC MECO 10V/0...19999A SMP45 96x48 4&1/2Digit,NO.,0,#N/A,,
8441,Ammeter Digital DC MECO 10V/6000A SMP45(96x48) 4 1/2Digit,NOS.,985,#N/A,,
57,Ammeter Digital DC MECO 7.5V/1000A SMP35 (96x48)                                                    ,NOS.,350,#N/A,,
